"CASE","SERIAL","REF","QUESTNNR","MODE","STARTED","SD01","SD02_01","SD08","SD08_01","DS01_01","DS01_02","DS01_03","DS01_04","DS01_05","DS01_07","DS01_06","MI01_01","MI02_01","MI03_01","MI03_02","MI04_03","MI05_01","MI05_02","MI07_01","MI09_01","MI10_01","MI14_02","ST01_01","ST01_02","ST01_03","ST01_04","ST01_05","ST01_06","ST01_07","ST01_08","ST02_01","ST02_02","ST02_03","ST02_04","ST02_05","ST03_01","ST03_02","ST03_03","ST03_04","ST03_05","ST03_06","ST03_07","ST03_08","ST04_01","ST04_02","ST04_03","ST04_04","ST04_05","ST04_06","ST04_07","UQ01","UQ01x01","UQ01x02","UQ01x03","UQ01x04","UQ01x05","PL01_01","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME008","TIME_SUM","MAILSENT","LASTDATA","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI","DEG_TIME"
135,,,"smartphone_EN","interview",2022-06-07 10:15:59,2,22,1,2,4,4,4,3,3,1,3,2,5,5,4,3,5,5,4,5,4,1,2,5,4,4,,5,5,5,4,5,,3,5,5,5,5,,5,5,5,5,5,5,1,5,5,5,5,5,"How long does the battery last?","Does it take good photos?","Is the phone durable?","Will the phone get regular updates?","Does the phone have the latest technology?","5cc7050c3c503e001aa6249f",6,15,33,15,42,86,45,39,281,,2022-06-07 10:20:40,1,0,8,8,0,0,1.03,7
136,,,"smartphone_EN","interview",2022-06-07 10:16:02,1,36,1,2,4,4,4,3,3,1,4,2,4,5,4,2,4,4,2,4,4,1,2,4,4,4,4,4,4,5,4,4,4,4,4,5,4,4,4,4,3,4,4,4,4,4,5,5,3,3,5,"How much gigs does the phone have","Does it come in different colours<br>","How far does the phone zoom in","Does it have a phone tracker","How long does the battery last","606c6e255a5575b822e0e925",21,14,65,45,48,159,56,52,460,,2022-06-07 10:23:42,1,0,8,8,0,0,0.6,0
137,,,"smartphone_EN","interview",2022-06-07 10:16:06,1,27,1,2,5,5,5,4,4,1,3,1,5,5,4,2,5,5,2,5,5,1,1,5,5,5,2,4,5,5,3,4,3,3,5,3,1,3,3,5,4,5,4,5,5,5,3,3,3,3,3,"Do you have a smartphone with a big memory? as I take a lot of photos and listen to music on my phone","Do you have a smartphone with a good battery life? as I often use my phone all day","Do you have a smartphone with a good camera? because I often take photos",,,"5f78eb1e3074f64de5e59754",3,8,27,18,28,84,45,40,253,,2022-06-07 10:20:19,1,0,8,8,0,0,1.32,17
138,,,"smartphone_EN","interview",2022-06-07 10:16:07,1,42,1,2,5,5,5,3,1,5,4,1,2,4,5,3,5,5,4,5,5,1,3,5,5,5,5,4,5,5,5,4,4,5,5,3,1,5,4,5,3,5,3,5,5,5,5,5,4,5,5,"How many megapixels is the back and front camera","Memory size","HD, Full HD, ","How many inches is the phone and how thin is it?","Does it have a guerilla screen","60a5ef27c3741d3248c387a1",44,13,68,40,71,197,100,52,585,,2022-06-07 10:25:52,1,0,8,8,0,0,0.51,0
139,,,"smartphone_EN","interview",2022-06-07 10:16:08,1,40,1,2,5,4,5,3,3,1,3,2,5,4,5,3,5,5,3,5,4,1,1,4,3,5,5,4,5,5,5,4,3,4,5,4,3,3,5,5,3,5,4,5,4,5,5,5,3,4,5,"What memory size do you recommend?","Do you have a phone with a big storage space?","Do you have a phone with a stereo jack?","Do you have a phone without a lot of bloatware pre-installed?","Do you have a phone with a super AMOLED screen because I often watch movies and videos?","57fb76a8bd8a970001fde35d",8,15,36,26,35,233,55,52,460,,2022-06-07 10:23:48,1,0,8,8,0,0,0.77,0
140,,,"smartphone_EN","interview",2022-06-07 10:16:12,1,61,1,2,4,4,4,3,3,1,1,1,4,4,5,1,4,3,1,4,3,1,1,3,1,1,1,5,5,5,4,4,3,5,5,2,3,2,1,1,1,5,3,4,2,3,4,4,1,1,5,"what is the battery life","how easy is it to operate","what size is it? (will it fit in hand/pocket)","what basic tools/toys does it have","how easy is it to turn off trackers","5cc18045796f460019034fba",21,19,42,25,33,107,41,58,346,,2022-06-07 10:21:58,1,0,8,8,0,0,0.75,0
141,,,"smartphone_EN","interview",2022-06-07 10:16:17,1,60,1,2,5,5,4,4,3,1,4,1,5,4,4,1,5,4,1,3,3,2,4,5,5,5,4,5,5,5,5,5,4,4,5,3,1,5,5,5,3,5,4,4,4,4,4,4,4,4,4,"Can it take good photos","How many colours and designs does it come in","Does it have bluetooth connections","Contract length on the new phone",,"60bbea726dc12dd57d5f1b94",43,17,68,53,136,260,81,113,771,,2022-06-07 10:29:08,1,0,8,8,0,0,0.39,0
142,,,"smartphone_EN","interview",2022-06-07 10:16:20,1,19,1,2,5,5,5,4,4,1,3,1,5,5,5,3,5,5,4,5,5,1,2,5,5,4,3,5,5,5,5,4,2,5,4,3,1,4,5,4,3,5,4,5,5,4,5,5,3,2,4,"Which phone has the best RAM?","Which brand do you recommend that is affordable and good quality at the same time?","How many megapixels does this phone have?","Which smartphone has a better battery life?",,"60958faa248237291fb4ed6c",50,18,37,31,29,113,41,47,366,,2022-06-07 10:22:26,1,0,8,8,0,0,0.75,0
143,,,"smartphone_EN","interview",2022-06-07 10:16:22,2,48,1,2,5,5,5,1,2,1,2,2,5,4,4,2,5,5,3,4,3,5,2,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,3,5,5,5,5,5,5,5,5,"How long does the battery last?","How durable is the phone?","How prtable is the phone?","How appealling is the phone?","What's the weight of the phone?","60aa58737ee02afce92666ac",15,31,56,44,50,72,63,42,373,,2022-06-07 10:22:35,1,0,8,8,0,0,0.68,2
144,,,"smartphone_EN","interview",2022-06-07 10:16:22,1,54,1,2,4,4,4,3,3,1,2,2,4,3,4,4,4,4,3,4,3,1,1,5,4,4,2,4,5,5,5,4,4,5,4,2,2,4,4,5,3,5,3,5,5,5,5,5,3,2,5,"how many pixels on camera","screen size","memory storage","easy to hold","what available colours","5a86b089aa46dd00016bb064",13,7,33,17,24,70,34,33,231,,2022-06-07 10:20:13,1,0,8,8,0,0,1.18,11
145,,,"smartphone_EN","interview",2022-06-07 10:16:24,1,64,1,2,4,4,4,2,3,1,4,4,5,4,4,3,4,4,4,4,3,1,1,5,4,4,3,4,5,5,4,4,4,5,4,4,2,4,4,4,4,4,3,4,4,4,4,4,3,3,5,"weight","size","camera","screen","specifications","5fc0f6b4f3d9a206094a46a2",8,8,37,28,31,43,46,43,244,,2022-06-07 10:20:28,1,0,8,8,0,0,1.12,10
146,,,"smartphone_EN","interview",2022-06-07 10:16:25,2,37,1,2,5,5,5,4,3,1,2,1,4,4,4,2,5,5,4,5,5,1,1,5,2,5,1,5,5,5,5,4,3,4,4,5,1,5,1,5,3,5,5,5,5,4,5,5,4,5,3,"Does the phone have a good camera?","How long will the battery last for normal use?","How much storage does the phone have?",,,"5d4c962e98b21c0001d26d6a",3,7,20,22,25,66,41,38,222,,2022-06-07 10:20:07,1,0,8,8,0,0,1.43,22
147,,,"smartphone_EN","interview",2022-06-07 10:16:26,2,37,1,2,4,4,4,2,2,1,3,2,2,4,4,2,4,4,2,3,1,1,4,4,2,3,4,3,5,5,4,3,2,3,4,3,3,3,3,3,3,5,5,4,5,5,4,5,3,3,5,"Who is manufacturer","How much does it cost","What features are available","is it compatible with my existing devices","how easy is onboarding and moving my existing data","5df7980301423f51abb631a1",4,14,18,21,23,695,31,35,243,,2022-06-07 10:30:27,1,0,8,8,0,0,1.17,15
148,,,"smartphone_EN","interview",2022-06-07 10:16:29,1,44,1,2,4,3,3,4,3,1,3,3,4,3,4,1,3,3,1,3,4,1,3,5,4,5,2,4,4,5,5,4,5,5,5,4,,4,3,5,4,5,5,5,5,5,5,5,,,4,"How long is battery life","Do I have to pay for extras","Is it easy to use","Will it break if I dropped it",,"5ce475232210eb00018706b3",5,18,26,16,29,59,25,34,212,,2022-06-07 10:20:01,1,0,8,8,0,0,1.27,16
149,,,"smartphone_EN","interview",2022-06-07 10:16:34,1,50,1,2,4,4,4,2,2,1,2,2,3,5,5,3,4,3,3,4,3,1,1,5,3,3,2,4,5,5,5,1,3,5,4,1,1,1,4,4,3,4,3,4,4,3,5,5,3,3,3,"What is the smallest smartphone you have?","How much memory does the phone have?","Can more memory, eg micro SD card be added?",,,"615240ad608449a122ab2e77",24,13,55,33,39,89,48,69,370,,2022-06-07 10:22:44,1,0,8,8,0,0,0.71,1
150,,,"smartphone_EN","interview",2022-06-07 10:16:35,2,45,1,2,5,5,5,3,4,1,4,4,2,5,5,5,4,5,5,5,5,1,5,5,5,5,1,5,5,5,5,5,4,5,5,1,1,5,5,5,3,5,3,5,5,5,5,5,5,5,5,"How many pixel camera does the phone have?","Is the phone compatable with gooogle crome?","Does it have a long battery life?","What are the dimensions of the phone?","Is the phone water proof?","60abcd6f3e5efd9fca235828",137,16,100,96,81,274,70,107,752,,2022-06-07 10:31:16,1,0,8,8,0,0,0.36,0
151,,,"smartphone_EN","interview",2022-06-07 10:16:37,1,52,1,2,5,5,5,2,2,1,1,1,5,5,4,2,5,5,3,4,4,1,1,5,3,5,3,4,5,5,5,4,4,4,4,4,3,4,4,5,4,5,3,5,5,4,5,5,4,4,3,"How good is the camera","How long that the battery last","Is it heavy",,,"5cc58b603b1b1c0001f9db5f",10,10,38,24,40,228,36,37,423,,2022-06-07 10:23:40,1,0,8,8,0,0,0.87,1
152,,,"smartphone_EN","interview",2022-06-07 10:16:38,2,38,1,2,5,5,5,1,2,1,1,1,1,5,4,1,5,5,4,5,2,1,1,4,4,5,3,5,5,5,5,5,3,4,5,4,4,3,3,4,4,5,4,4,4,5,5,5,4,4,4,"How big is the internal memory?","How long does the warranty for this smartphone last?","How big the frontal abd rear camera?","Are there any upgrades that i have to keep up with in regards to this smartphone?",,"6005661289252e3e1d6528b6",25,19,60,44,62,154,65,43,472,,2022-06-07 10:24:30,1,0,8,8,0,0,0.57,0
153,,,"smartphone_EN","interview",2022-06-07 10:16:38,1,37,1,2,5,5,5,5,4,1,5,2,5,5,4,4,5,5,5,5,5,1,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,4,5,5,4,5,5,5,5,5,5,3,"THE BRAND","THE BATTERY LIFE","THE SPACE ON THE PHONE",,,"601d62ad30f3af07f40c49ea",61,11,35,30,22,36,30,23,195,,2022-06-07 10:20:46,1,0,8,8,0,0,1.22,18
154,,,"smartphone_EN","interview",2022-06-07 10:16:46,1,64,1,2,5,5,5,3,3,1,4,2,4,4,4,3,4,4,3,4,2,1,1,5,3,5,4,4,4,5,5,4,3,3,4,3,5,3,5,5,5,5,4,4,5,5,5,5,4,3,3,"How long does the battery last?","Can you see whats on the screen in bright sunlight, does the display adjust automatically?","Is it Andoid or Windows?",,,"622cc240f852e79e5ba1cba5",22,14,38,24,39,164,41,39,381,,2022-06-07 10:23:07,1,0,8,8,0,0,0.78,0
155,,,"smartphone_EN","interview",2022-06-07 10:16:46,2,28,1,2,4,5,4,4,4,1,5,3,4,4,5,2,3,4,2,4,3,1,1,4,4,4,1,5,5,5,4,5,2,3,4,5,,4,2,4,3,5,4,4,4,5,4,5,3,4,3,"What is the storage capacity of the phone?","What is the sound quality of the phone, as I enjoy playing music and podcast outloud from it?","What is the battery and charging life of the phone?",,,"60fef1ffa5ae99797bc2e659",3,10,20,17,21,173,37,38,319,,2022-06-07 10:22:05,1,0,8,8,0,0,1.34,20
156,,,"smartphone_EN","interview",2022-06-07 10:16:49,1,34,1,2,4,4,4,2,2,1,2,2,4,4,2,3,4,4,4,4,3,1,4,4,1,4,1,2,5,5,5,1,4,4,5,3,,4,3,1,2,5,5,4,3,4,3,5,2,2,4,"How long does the battery last? As i like to play games on the phone","What colours does it come in? ","How much does it weight? I dont particually like heavy phones","What size screen is it? I like phones with a bigger screen",,"580886502e30a90001da9441",19,13,51,54,110,291,78,103,719,,2022-06-07 10:28:48,1,0,8,8,0,0,0.47,0
157,,,"smartphone_EN","interview",2022-06-07 10:16:49,1,23,1,2,4,4,3,4,4,1,4,3,3,5,4,4,3,4,2,4,4,1,1,5,4,4,1,5,5,5,5,3,2,3,4,3,3,4,1,5,3,3,4,5,5,4,4,3,4,4,3,"How good is the camera on the smartphone?","What is the battery life like?","Is this smartphone popular?",,,"5c7fd1dc4820c40017f8bf0e",2,6,15,508,7,57,25,104,240,,2022-06-07 10:28:53,1,0,8,8,0,0,1.7,58
158,,,"smartphone_EN","interview",2022-06-07 10:16:51,2,52,1,2,4,4,4,3,2,1,2,1,5,4,4,4,5,5,4,4,4,1,4,4,3,5,3,5,5,5,3,4,3,3,4,5,1,4,4,3,4,5,4,5,4,5,4,5,4,4,5,"Do you have a smartphone with expandable memory?","Do you have a smartphone with google assistant built in?","Do you have a smartphone with a good low light camera?","Which smartphone is the best value for money?","Which smart phone do you recommend for a high end user?","6118e34c12e073d9e4375780",4,14,29,27,26,122,42,42,306,,2022-06-07 10:21:57,1,0,8,8,0,0,1.06,8
159,,,"smartphone_EN","interview",2022-06-07 10:16:55,1,24,1,2,5,4,5,3,3,1,2,4,4,2,4,3,4,4,4,3,2,1,1,5,5,5,5,5,5,5,4,4,5,5,4,4,2,5,4,5,5,5,5,5,5,5,4,4,5,3,4,"Is the camera quality good? I like taking pictures","Does it have a lot of space to store all my apps and pictures?","Does it have a note app to write all my important thoughts?","Can i easily place it in my pocket?",,"60c7bddaf145237400212a72",13,20,64,55,59,197,55,46,509,,2022-06-07 10:25:24,1,0,8,8,0,0,0.57,0
160,,,"smartphone_EN","interview",2022-06-07 10:16:56,1,29,1,2,4,4,3,4,4,1,3,2,3,5,2,1,4,4,1,3,1,1,3,5,5,5,1,5,5,5,1,5,5,5,5,5,1,5,1,5,4,5,5,5,5,5,5,5,5,5,5,"how is the battery life, how long doesit normally last?","what is the quality of the camera?","what colours does it come in?","can the phone fit into a normal pocket?","when was the phone released?","5bdc5287ee217b00012467d3",4,5,29,30,28,93,28,24,241,,2022-06-07 10:20:57,1,0,8,8,0,0,1.39,21
161,,,"smartphone_EN","interview",2022-06-07 10:17:00,1,39,1,2,5,5,5,3,3,1,3,1,5,3,4,4,5,5,4,4,4,1,1,5,5,4,1,5,5,5,5,3,5,4,4,3,,4,5,5,3,5,5,5,5,,5,5,,,3,"Does it have good storage","Is the camera good","How much is it",,,"5c3f2e175fe5c60001ffc302",5,12,29,119,31,51,37,39,323,,2022-06-07 10:22:23,1,0,8,8,0,0,1.08,10
162,,,"smartphone_EN","interview",2022-06-07 10:17:02,1,61,1,2,5,5,5,3,4,1,4,1,5,4,5,1,5,3,1,4,1,1,1,5,1,1,1,1,1,5,,4,2,2,2,1,1,1,1,1,1,1,1,4,1,5,4,1,1,1,4,"What features does it have","How much does it cost","What operating system does it have","What type of a camera does it have",,"5c5b60df7e554c0001258e71",18,28,49,34,53,188,60,56,486,,2022-06-07 10:25:08,1,0,8,8,0,0,0.57,0
163,,,"smartphone_EN","interview",2022-06-07 10:17:06,1,34,1,2,4,4,3,2,1,1,2,2,3,4,2,1,5,5,3,4,4,1,1,5,4,3,1,4,5,5,5,1,1,4,5,4,1,5,1,5,5,5,5,5,5,5,5,5,3,3,3,"How good is the camera","What is the screen like","is it easy to use",,,"6148e1e0c1a60baf79c41d59",3,12,31,24,22,52,29,27,200,,2022-06-07 10:20:26,1,0,8,8,0,0,1.44,22
164,,,"smartphone_EN","interview",2022-06-07 10:17:08,1,51,1,2,5,4,4,2,2,1,2,2,2,4,3,3,4,4,4,5,4,1,4,3,4,4,3,4,5,5,3,4,5,4,5,5,5,5,3,4,4,5,3,5,5,5,5,5,3,4,3,"how long does the battery last because im always on my fone","Does it came in differnt colours i dont like the one it comes in ","does it  have dual sim since i have 2 different networks",,,"607949950a40cbbb0909f681",69,16,64,29,51,129,122,36,455,,2022-06-07 10:25:45,1,0,8,8,0,0,0.6,0
165,,,"smartphone_EN","interview",2022-06-07 10:17:09,2,28,1,2,5,5,5,5,3,1,5,1,5,4,4,3,5,5,5,5,5,1,3,5,5,5,3,4,5,5,5,5,5,4,5,1,1,4,5,5,4,5,5,5,5,5,5,5,4,5,5,"Which phone has the biggest screen","How good is the camera","How fast can the phone run ","Whats the maximum size of memory the phone can hold","What special features does the phone have","609ac4e5f0b26244311ec729",12,17,263,55,52,207,54,55,484,,2022-06-07 10:29:04,1,0,8,8,0,0,0.53,0
166,,,"smartphone_EN","interview",2022-06-07 10:17:12,1,27,1,2,5,5,5,3,2,1,3,2,5,4,4,4,5,5,2,5,5,1,2,5,5,5,1,2,5,5,5,4,4,4,5,4,3,5,3,5,5,5,3,5,5,4,5,5,2,2,4,"Does it have a good camera?","What is the storage like on it?","How is the battery life?","Can it record good quality video?",,"60362f9b635efa2628877f61",8,10,17,16,19,43,25,36,174,,2022-06-07 10:20:06,1,0,8,8,0,0,1.48,24
167,,,"smartphone_EN","interview",2022-06-07 10:17:18,1,21,1,2,3,1,1,5,5,1,2,5,5,3,4,1,2,2,1,3,3,1,3,5,5,5,2,5,5,5,5,2,3,5,5,1,2,5,3,5,3,5,5,5,5,5,4,4,3,4,5,"What is the size","How much does it cost","How much storage does it have","What software is it using","IS the camera good","60f33a0abc722ea24c23ea90",9,14,18,16,12,51,30,27,177,,2022-06-07 10:20:15,1,0,8,8,0,0,1.49,26
168,,,"smartphone_EN","interview",2022-06-07 10:17:20,2,54,1,2,4,4,4,3,2,1,2,1,5,3,4,1,5,5,2,4,5,1,2,3,1,4,3,5,5,5,5,5,1,3,4,4,1,4,3,1,1,5,4,5,1,5,3,3,3,3,5,"what is the price","what is the warranty","what is battery life","what is the operating system","what cases are available","5c5d16ab6ad0f00001cc0ca2",17,7,24,22,27,50,32,34,213,,2022-06-07 10:20:53,1,0,8,8,0,0,1.22,14
169,,,"smartphone_EN","interview",2022-06-07 10:17:21,1,50,1,2,5,4,4,3,4,1,3,3,4,4,4,2,4,5,4,4,4,1,4,4,2,4,2,5,4,5,4,4,4,5,4,4,5,4,3,4,4,4,4,4,5,4,4,4,5,4,5,"how long does the battery last?","what memory does the phone have?","what is the quality of the sound like?","does it work on 5G?","how do you take great photos?","5a8d59b2ae9a0b0001aa30b3",18,11,53,24,26,102,34,31,299,,2022-06-07 10:22:20,1,0,8,8,0,0,0.93,3
170,,,"smartphone_EN","interview",2022-06-07 10:17:21,1,41,1,2,4,4,4,4,5,1,4,4,4,4,4,4,4,4,4,4,3,1,1,5,2,3,3,4,5,5,5,5,2,4,4,5,1,1,1,5,4,5,5,4,5,5,4,5,4,4,3,"camera","battery power","data capacity",,,"600ab42b3c75bc0167c2cfb1",4,13,17,7,10,15,25,36,127,,2022-06-07 10:19:28,1,0,8,8,0,0,2.02,76
171,,,"smartphone_EN","interview",2022-06-07 10:17:22,1,48,1,2,4,4,4,3,3,1,3,2,4,4,4,1,4,4,5,4,3,1,2,5,5,3,3,5,5,5,5,5,5,5,5,5,4,4,4,5,4,5,5,5,4,5,5,5,4,4,5,"...is it an iphone?","... can I keep my number?","...can my details be passed over to my new system?","...how much is it?","...what's the screen size?","5efa4bdaca4722143101c0bc",4,13,24,18,23,73,31,33,219,,2022-06-07 10:21:01,1,0,8,8,0,0,1.31,16
172,,,"smartphone_EN","interview",2022-06-07 10:17:28,1,27,1,2,5,4,4,3,2,1,2,3,5,5,4,2,5,5,3,5,2,1,1,5,5,5,3,5,5,5,5,4,5,5,5,4,2,5,5,5,3,5,4,5,5,5,5,5,4,5,5,"How much storage does it have? I take video content a lot","Does it have a good picture quality? I like crisp photos","How good is the operating system? I do not like glitches when perfoming tasks on my phone","How big is it? I prefer a medium sized phone (not too bog or small)","What accesories does it come with? I would like a charger and headsets","5fbb9d170045d6d085a9bbbf",98,19,42,28,67,193,44,53,454,,2022-06-07 10:26:32,1,0,8,8,0,0,0.6,0
173,,,"smartphone_EN","interview",2022-06-07 10:17:31,1,24,1,2,5,5,4,2,2,5,1,1,4,4,2,3,5,5,3,5,4,1,1,5,5,5,5,4,5,5,4,4,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,,4,"What are the megapixels of the camera?","Does it have all google services?","Does it have an option of low data usage?","How much storage space does it have?",,"600823f4e4ff8838b38948f6",6,12,42,30,67,94,42,47,340,,2022-06-07 10:23:11,1,0,8,8,0,0,0.87,2
174,,,"smartphone_EN","interview",2022-06-07 10:17:42,2,57,1,2,5,5,4,2,2,1,2,3,4,3,4,2,5,5,4,4,3,1,1,3,3,4,2,4,4,5,3,3,3,4,4,5,2,5,2,3,5,5,3,5,5,5,5,5,4,4,5,"How much RAM does the phone have?","How much storage space does it have?","What is the battery life like?","Is it 5g compatible?","Does it have fast charging?","60db14f4cf941ba7b1f26d5c",6,12,22,24,24,113,40,31,272,,2022-06-07 10:22:14,1,0,8,8,0,0,1.12,8
175,,,"smartphone_EN","interview",2022-06-07 10:17:45,1,23,1,2,4,5,5,3,3,1,4,2,4,5,4,4,5,5,5,4,4,1,3,5,4,5,3,5,5,5,3,4,4,5,5,2,2,5,4,4,4,5,5,5,5,5,4,5,4,4,5,"Does it have a good camera with different features?","What is the battery life of the phone? ","What operating system does it have? Which do you recommend is best?","Does it have any special features that other phones don't have? ","Does it come in a range of different colours?","5dc3fe9b547c1f2dabd5a67b",4,9,27,24,32,218,37,37,388,,2022-06-07 10:24:13,1,0,8,8,0,0,1.1,9
176,,,"smartphone_EN","interview",2022-06-07 10:17:56,2,46,1,2,4,4,4,3,3,1,3,3,3,4,4,1,3,4,4,4,3,1,1,4,3,4,2,4,5,5,4,2,1,2,5,3,1,2,3,5,2,5,2,4,4,4,3,3,2,2,3,"How much does it cost per month?","Can I buy a case to go with it?","What is the camera like?",,,"59f82eb0680a95000122b0cd",5,6,23,17,20,34,34,41,180,,2022-06-07 10:20:56,1,0,8,8,0,0,1.57,29
177,,,"smartphone_EN","interview",2022-06-07 10:18:00,1,35,1,2,4,4,4,3,4,1,2,2,4,3,4,4,4,4,4,4,3,1,3,4,4,5,4,5,5,5,5,3,2,3,5,5,4,4,3,4,4,5,3,5,5,5,5,5,3,5,5,"How much storage does it have","How durable is it, I prefer a phone that can withstand being dropped on the floor etc as I am clumsy","How good is the camera","Which one is the best quality for an affordableish price, I want quality a phone that works well but not being roped into spending lots when there is better working phones that are cheaper.","What are the specs, how well does it run","5a3996f6ae52e600010a0192",5,12,32,30,41,218,39,43,420,,2022-06-07 10:25:00,1,0,8,8,0,0,0.91,4
178,,,"smartphone_EN","interview",2022-06-07 10:19:07,1,39,1,2,5,5,5,3,3,1,4,1,4,4,4,1,5,5,1,1,2,1,1,5,5,3,3,5,5,5,5,5,2,4,5,5,4,5,5,5,4,5,5,4,4,5,5,4,5,4,5,"What is the quality of the camera like?","Does he have facial regcognition?","What new features does it have?","What is it's size?","Would you recommned this phone?","5e5beb1ed9d6813cae521b50",5,13,18,13,22,109,26,20,226,,2022-06-07 10:22:53,1,0,8,8,0,0,1.45,24
179,,,"smartphone_EN","interview",2022-06-07 10:20:03,1,24,1,2,5,5,3,4,4,1,4,5,4,4,2,1,5,5,2,5,2,1,1,5,5,4,4,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,"Do you have a phone with a good camera?","Do you have a phone with enough storage?","Can I put 2 simcards in the phone? ","Is the phone light or heavy?","Does the phone have a front flashlight?","60c0b3887c23755125baa88e",9,18,156,42,41,328,56,63,713,,2022-06-07 10:31:56,1,0,8,8,0,0,0.57,0
180,,,"smartphone_EN","interview",2022-06-07 10:24:35,1,36,1,2,4,3,4,2,4,1,3,2,5,5,4,2,5,4,2,4,5,1,2,4,1,4,1,4,4,5,3,5,4,5,5,5,5,5,5,4,3,5,3,4,5,3,4,4,2,2,5,"whats the battery life","is there an earphone socket","whats the guarantee","what colours does it come in","is that the cheapest you can do","5d752c55b5b1e700015005d3",5,16,28,22,39,142,34,30,316,,2022-06-07 10:29:51,1,0,8,8,0,0,1.04,7
181,,,"smartphone_EN","interview",2022-06-07 10:28:14,2,23,1,2,4,4,4,2,4,1,2,2,4,3,4,2,1,4,3,4,3,1,1,4,4,4,2,4,5,5,5,4,3,4,5,3,2,4,4,4,3,5,3,4,4,3,4,5,5,5,3,"Which is the fastest to work on?","Which is the best value?","How recently was this phone developed",,,"5fb054e79c356e41b802260a",22,17,39,19,25,52,31,39,244,,2022-06-07 10:32:18,1,0,8,8,0,0,1.04,9
182,,,"smartphone_EN","interview",2022-06-07 11:00:14,1,29,1,2,5,5,5,4,4,1,2,2,4,4,4,1,4,5,1,4,2,1,1,5,4,3,1,3,4,5,5,5,4,4,4,1,,2,3,4,4,4,3,3,5,5,4,5,,,4,"What is the camera quality like?","How big is the screen?","What operating system does it use?","How much internal storage does it have?",,"611e283064ad72ef8c6f48cd",14,9,90,21,31,37,36,43,281,,2022-06-07 11:04:55,1,0,8,8,0,0,1.1,13
183,,,"smartphone_EN","interview",2022-06-07 12:17:19,1,22,1,2,4,4,4,3,4,1,3,2,5,4,4,3,3,4,3,4,3,1,1,5,4,3,1,3,4,5,4,4,5,4,4,2,3,4,2,5,4,5,5,5,5,5,4,4,4,3,3,"is the camera good quality","does it come in other colours","does the battery last life",,,"5ebe59309264f81ae5a87a30",10,13,37,17,36,82,26,29,250,,2022-06-07 12:21:29,1,0,8,8,0,0,1.08,8
184,,,"smartphone_EN","interview",2022-06-07 12:17:19,2,44,1,2,5,5,5,2,2,1,2,2,3,5,4,3,5,4,3,5,3,1,1,4,4,4,3,5,5,5,4,3,1,4,4,3,1,3,5,4,2,5,3,4,3,4,5,5,3,4,3,"Can you tell me about the warranty of the product?","What is the battery life of this product? ","How much memory does this phone have?",,,"581ccd016c73180001fa5b2a",4,19,487,72,141,105,816,48,458,,2022-06-07 12:45:31,1,0,8,8,0,0,0.62,6
185,,,"smartphone_EN","interview",2022-06-07 12:17:23,1,28,1,2,5,5,5,2,2,1,3,2,5,4,4,1,5,4,1,5,4,1,2,3,1,4,2,3,4,5,5,4,4,4,4,3,,3,,3,4,5,2,5,5,4,4,4,3,3,5,"What is the battery life like?","What resolution is the screen?","Is it larger or smaller than my current phone?","How is the camera quality?","Is the price worth the features?","5b2a72f7c293b90001732b89",4,9,20,17,24,95,32,32,233,,2022-06-07 12:21:16,1,0,8,8,0,0,1.35,18
186,,,"smartphone_EN","interview",2022-06-07 12:17:23,2,31,1,2,5,4,4,2,1,1,2,1,5,3,4,1,4,5,2,4,5,1,1,4,1,5,2,5,5,5,5,,,5,2,,1,3,5,1,3,5,4,5,4,5,4,4,3,3,5,"What operating system does the smartphone have?","How big is the smartphone screen?","How much memory does it have?","Can I add a memory card?","What does the warranty look like?","5d31c6bac88f0e00164c3ccb",25,16,34,23,26,125,38,29,316,,2022-06-07 12:22:39,1,0,8,8,0,0,0.9,3
187,,,"smartphone_EN","interview",2022-06-07 12:17:26,2,40,1,2,4,4,4,2,2,1,2,2,5,3,4,3,4,4,4,5,4,1,4,3,2,3,3,4,5,5,4,3,5,5,4,4,3,4,5,4,3,5,3,5,5,5,5,5,5,3,3,"what is battery life","what is screen size","what is camera definition",,,"5e5521580ee1b951df544c3c",4,17,40,23,32,42,33,30,221,,2022-06-07 12:21:08,1,0,8,8,0,0,1.26,17
188,,,"smartphone_EN","interview",2022-06-07 12:17:26,2,54,1,2,5,5,5,2,2,1,3,2,5,4,4,3,5,5,3,5,2,1,4,4,1,4,1,5,5,5,5,1,2,3,3,5,5,2,3,2,2,5,4,5,4,5,4,4,5,4,5,"How large is the battery?  I need a phone to last all day with regular use.","What is the screen resolution?  I prefer a clear display.","What is the screen refresh rate?  I prefer a smoother display.","Does it support 5G?  I want the fastest data rate when away from home.","Does it support dual SIMs?  I need to use two SIMs.","5f91a0c5075eec02af730999",223,9,26,20,25,108,33,36,265,,2022-06-07 12:25:26,1,0,8,8,0,0,0.99,6
